time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-08-23T09:02:35.250Z,3.8135,126.993,35,4.5,mb,,115,3.044,0.8,us,usb000s5mx,2014-08-23T17:05:04.901Z,"244km SE of Sarangani, Philippines",earthquake
2014-08-23T08:37:25.500Z,18.4808,-64.6115,12,2.9,Md,3,295.2,0.06288207,0.03,pr,pr14235003,2014-08-23T16:40:06.705Z,"7km N of Road Town, British Virgin Islands",earthquake
2014-08-23T06:13:22.710Z,41.1683,67.8586,16.65,4.4,mb,,43,2.511,0.59,us,usb000s5mj,2014-08-23T14:16:11.895Z,"13km SW of Shardara, Kazakhstan",earthquake
2014-08-23T05:04:40.000Z,61.518,-150.4536,52.5,3.5,ml,,,,0.75,ak,ak11365202,2014-08-23T13:07:13.729Z,"26km W of Big Lake, Alaska",earthquake
2014-08-23T04:58:00.180Z,32.9185,47.5768,10,4.3,mb,,154,6.518,0.79,us,usb000s5lw,2014-08-23T20:31:22.628Z,"16km ESE of Abdanan, Iran",earthquake
2014-08-23T04:45:33.940Z,-20.1672,-69.1106,97.81,5.7,mb,,53,0.047,1.05,us,usb000s5lt,2014-08-25T16:37:30.000Z,"108km E of Iquique, Chile",earthquake
2014-08-23T04:40:17.760Z,36.764,-98.0148,5,2.6,mb_lg,,58,0.26,0.89,us,usb000s5lr,2014-08-23T05:45:19.211Z,"25km W of Medford, Oklahoma",earthquake
2014-08-23T03:44:57.370Z,-21.8296,-70.2878,75.32,4.3,mb,,116,0.387,0.85,us,usb000s5li,2014-08-23T15:59:58.000Z,"30km NNW of Tocopilla, Chile",earthquake
2014-08-23T02:30:55.120Z,36.7424,59.3119,10,4.2,mb,,144,3.352,1.09,us,usb000s5l2,2014-08-23T19:10:18.511Z,"20km ENE of Chenaran, Iran",earthquake
2014-08-23T01:39:41.000Z,60.0657,-144.95,0,2.8,ml,,,,0.82,ak,ak11365108,2014-08-23T09:42:19.674Z,"69km SE of Cordova, Alaska",earthquake
2014-08-22T23:24:26.000Z,51.5806,178.2623,73.72,4.3,mb,,134,0.68,0.81,us,usb000s5kp,2014-08-23T07:26:55.690Z,"44km SSW of Little Sitkin Island, Alaska",earthquake
2014-08-22T22:58:40.000Z,52.2922,175.0217,55.6,2.9,ml,,,,0.52,ak,ak11364977,2014-08-23T07:01:08.864Z,"62km W of Buldir Island, Alaska",earthquake
2014-08-22T21:53:42.000Z,55.4884,-156.9015,56.1,3,ml,,,,0.48,ak,ak11364850,2014-08-23T05:56:13.205Z,"88km WSW of Chirikof Island, Alaska",earthquake
2014-08-22T21:49:21.560Z,2.6039,93.726,29.15,4.5,mb,,108,4.058,1.19,us,usb000s5i5,2014-08-23T05:52:04.171Z,"295km W of Sinabang, Indonesia",earthquake
2014-08-22T21:44:25.960Z,0.939,125.4164,79.95,4.4,mb,,86,1.957,1.1,us,usb000s5i2,2014-08-23T05:47:08.432Z,"61km SSE of Bitung, Indonesia",earthquake
2014-08-22T20:06:05.010Z,33.8104,45.7544,19.21,5.4,mb,,47,4.994,0.97,us,usb000s5h3,2014-08-23T21:20:25.701Z,"19km ENE of Mandali, Iraq",earthquake
2014-08-22T19:23:10.600Z,36.8594,-98.2553,3.362,3.1,ml,,156,,0.81,us,usb000s5g7,2014-08-25T16:06:33.282Z,"14km NE of Cherokee, Oklahoma",earthquake
2014-08-22T18:36:00.910Z,-7.2277,129.5206,149.48,4.6,mb,,45,1.915,1.23,us,usb000s5fh,2014-08-23T21:01:14.400Z,"213km WNW of Saumlaki, Indonesia",earthquake
2014-08-22T18:21:55.052Z,41.8972,-119.6344,2.6013,2.78,ml,4,121.3,0.498,0.047,nn,nn00456942,2014-08-23T20:52:26.000Z,"67km ESE of Lakeview, Oregon",earthquake
2014-08-22T17:55:59.170Z,33.5487,45.7292,10,4.7,mb,,51,5.223,0.9,us,usb000s5fb,2014-08-23T20:51:27.578Z,"27km SE of Mandali, Iraq",earthquake
